ramR_cds_mutations,ramR_amino_mutations
7,3
8,3
8,3
6,3
9,4
6,3
5,3
6,3
6,3
8,3
4,3
7,3
7,3
9,3
5,3
8,3
5,3
7,3
8,3
7,4
7,3
8,3
5,3
6,3
6,3
7,3
8,3
5,3
7,3
5,3
6,3
7,3
7,3
7,3
8,3
7,3
7,3
7,3
8,3
8,3
5,3
7,3
4,2
5,3
8,-1
7,4
7,3
8,3
7,3
5,2
6,3
8,3
7,3
7,3
7,3
8,3
4,2
6,3
7,3
9,3
8,4
7,3
7,3
6,3
6,3
6,2
6,3
4,3
7,3
6,3
5,2
6,3
7,4
6,3
7,3
5,3
7,3
9,3
6,3
8,3
5,2
2,0
7,3
9,3
5,3
6,3
6,3
8,3
7,3
7,3
7,4
5,2
7,2
7,3
7,3
5,2
5,3
7,3
3,1
7,3
6,3
6,3
6,2
8,3
6,3
6,2
6,3
9,2
5,3
6,2
7,3
4,3
6,3
6,3
5,2
6,3
7,3
6,3
5,3
9,3
7,3
8,2
5,2
7,3
8,3
6,3
7,3
6,3
5,2
7,3
8,3
8,3
6,3
6,3
9,3
5,2
8,3
8,3
6,3
7,3
7,3
5,3
7,3
7,3
9,4
8,3
5,3
7,3
7,3
7,3
7,3
7,3
7,3
7,3
7,3
4,2
7,3
6,3
7,2
4,2
7,3
7,3
4,2
8,3
6,3
7,3
7,3
7,3
6,3
8,4
6,3
8,3
7,2
8,3
8,3
7,3
7,3
6,2
6,2
7,3
7,3
8,3
7,3
5,2
7,3
9,3
6,3
5,3
8,3
7,3
4,2
7,3
4,3
6,3
6,3
7,3
7,3
5,2
6,3
4,2
6,3
8,3
6,3
6,3
6,3
5,2
7,3
8,3
4,3
8,3
6,3
8,3
8,3
7,4
5,3
7,3
6,3
4,2
3,2
6,3
6,3
8,3
5,2
5,3
7,3
7,3
5,3
8,3
6,3
8,3
7,3
7,4
7,3
6,3
8,3
5,1
5,3
6,3
8,3
8,3
7,3
6,2
7,3
6,2
6,3
5,3
8,3
5,3
8,3
9,3
5,2
6,3
7,3
8,3
6,3
6,2
6,3
10,3
7,3
9,3
5,2
5,3
7,2
6,3
8,3
6,3
8,3
7,3
8,3
5,2
8,3
7,3
6,3
7,3
5,2
6,2
7,3
6,3
8,3
5,3
6,3
6,3
6,3
8,3
8,3
7,3
6,3
6,2
5,3
7,3
9,3
6,3
6,2
6,3
5,2
6,3
5,3
6,2
6,2
7,3
6,3
5,2
6,3
7,3
6,3
6,2
6,3
7,3
7,3
7,3
11,4
7,2
6,3
5,2
8,3
7,3
4,2
8,3
5,3
7,3
5,3
7,3
5,3
8,3
5,3
5,3
8,3
6,3
8,3
7,3
8,3
4,3
4,3
6,2
6,3
7,3
6,3
7,3
7,3
6,3
5,3
8,3
5,2
6,3
2,1
5,2
4,2
8,3
7,3
8,3
7,3
7,3
6,3
6,3
6,3
7,3
7,3
5,3
8,3
5,3
8,3
8,3
7,3
6,3
6,3
6,2
6,3
8,3
6,3
8,3
5,2
6,3
7,3
6,3
8,3
6,3
9,3
5,3
4,2
7,3
6,3
7,3
6,3
7,3
7,3
7,3
7,3
6,2
5,3
7,3
5,2
6,3
9,3
7,3
7,3
4,3
7,3
6,2
7,3
7,3
5,3
8,3
5,3
5,3
6,3
5,3
5,3
6,3
5,3
6,3
7,3
5,2
3,2
8,3
6,3
10,4
6,3
8,3
7,3
8,3
5,3
4,2
4,3
6,3
7,3
6,2
7,3
5,3
8,3
7,3
6,3
6,3
7,3
7,3
8,3
6,3
6,3
8,3
7,3
5,2
8,3
7,3
5,3
6,3
8,3
6,2
8,3
8,3
9,3
5,2
6,3
7,3
7,3
6,3
5,2
8,3
6,3
9,3
9,3
8,3
9,2
6,3
7,3
5,3
7,3
9,3
6,3
7,3
7,3
4,2
6,2
7,3
4,2
7,3
8,3
7,3
7,3
8,3
6,3
7,3
7,3
7,3
7,3
5,3
6,3
6,3
5,2
9,3
7,3
7,3
7,3
4,2
3,2
6,3
6,3
6,3
9,3
6,3
6,3
5,3
5,2
6,3
6,3
7,3
5,2
7,3
7,3
6,2
7,3
6,3
6,1
8,3
9,2
5,3
7,3
5,3
4,1
4,2
6,3
8,3
7,2
4,2
8,4
5,2
7,3
7,3
7,3
7,3
8,3
7,3
8,3
4,2
7,3
9,2
7,3
7,3
7,2
7,3
9,3
8,3
8,3
6,3
4,2
8,3
8,3
5,3
6,3
7,3
5,2
4,2
6,3
8,3
5,2
8,3
6,3
6,2
6,3
6,3
5,3
7,3
6,3
5,3
6,2
4,2
2,0
7,3
8,3
4,2
6,2
5,3
4,2
7,3
7,3
6,3
9,3
6,3
7,3
6,3
9,3
8,3
6,3
8,3
8,3
7,3
7,3
3,2
7,3
6,3
4,2
10,4
6,3
5,2
5,3
9,2
6,3
8,3
8,3
5,3
5,3
6,3
6,3
8,3
7,3
6,3
7,3
8,3
5,3
8,3
8,3
5,3
2,2
5,2
3,2
6,3
8,3
6,3
7,3
7,4
7,2
7,3
6,3
7,3
7,3
8,3
7,3
6,3
6,3
6,3
6,3
4,2
5,4
8,2
6,3
7,4
6,3
8,3
5,2
7,3
8,3
8,3
6,3
7,3
9,3
7,2
6,3
7,3
7,3
7,3
5,2
7,3
6,3
8,3
4,3
6,3
5,3
8,3
6,3
7,3
8,3
6,3
7,3
6,2
6,2
4,2
6,3
8,3
9,3
7,3
7,4
8,3
9,4
8,3
6,3
5,3
6,2
4,2
4,2
6,3
6,2
6,3
7,2
7,3
8,3
8,3
5,2
6,3
8,3
7,3
5,3
7,3
3,2
9,4
6,3
7,3
6,3
8,3
5,3
7,3
8,4
5,2
5,3
6,3
5,2
6,2
8,3
4,3
7,3
9,3
6,3
5,2
5,3
8,3
6,2
7,3
7,3
4,2
7,3
7,3
8,3
8,3
6,3
8,3
6,3
7,3
7,3
5,3
7,3
7,3
6,3
7,3
8,4
8,3
9,3
5,3
7,3
6,3
2,2
4,2
6,3
4,2
6,3
7,3
6,3
6,3
7,3
6,3
6,3
7,3
6,3
8,4
8,3
6,3
5,3
8,3
8,3
8,2
6,2
7,3
6,3
5,2
5,2
6,3
6,3
6,3
5,2
6,3
6,3
6,3
7,3
7,3
8,3
6,3
7,3
6,3
7,3
7,3
4,2
6,4
4,2
7,3
6,3
5,3
7,3
8,3
6,3
4,3
6,3
5,2
7,3
8,3
6,3
5,2
7,3
4,2
7,3
8,3
7,3
7,3
6,3
6,3
8,3
5,3
8,3
8,3
7,3
5,2
7,3
7,3
5,2
8,3
6,2
7,2
6,3
8,3
6,3
7,2
8,3
7,3
6,3
6,3
5,3
6,3
7,3
8,3
8,3
5,2
7,3
6,3
6,2
3,1
8,3
2,1
6,3
8,3
4,2
6,3
8,2
6,3
7,3
6,3
8,3
7,3
8,3
7,3
8,3
6,3
5,2
9,3
6,3
5,2
7,3
8,3
8,3
3,1
8,3
7,3
6,3
8,3
5,2
9,3
5,3
9,3
7,3
5,3
7,3
6,3
7,3
7,3
4,2
8,3
8,3
5,3
6,3
6,3
7,3
7,3
7,3
6,3
5,2
9,3
5,2
9,3
6,3
8,4
8,3
6,2
7,3
6,3
5,2
5,2
8,3
5,2
5,3
8,3
5,2
7,3
8,3
9,3
5,3
6,3
5,2
5,3
5,3
6,3
8,4
6,3
5,3
5,2
8,3
8,3
5,2
7,3
5,3
6,2
7,3
6,2
7,3
7,3
9,3
7,3
7,3
6,3
5,3
8,3
6,3
6,3
5,3
5,2
7,3
6,3
7,3
5,3
7,3
6,3
6,3
4,3
7,3
6,3
8,3
7,3
8,3
7,3
6,3
7,3
5,2
7,3
9,3
7,3
5,2
7,2
7,3
7,3
6,3
7,3
6,3
6,3
6,3
7,3
8,3
5,3
6,3
4,2
5,2
7,3
8,3
7,3
9,3
6,3
6,3
8,3
7,2
5,2
7,3
6,3
7,3
7,3
4,1
4,2
7,3
9,3
5,2
9,3
7,3
9,3
7,3
7,3
6,3
7,3
6,3
4,3
7,3
4,2
5,3
8,3
9,4
7,2
8,3
5,2
7,3
6,3
3,2
5,2
7,3
7,3
6,3
7,3
8,2
4,2
7,3
6,3
6,3
8,3
7,3
7,3
8,3
8,3
5,3
7,3
8,3
7,3
8,3
6,2
3,2
7,3
8,3
6,2
7,3
7,3
6,3
4,3
7,3
6,3
6,2
7,3
6,3
6,3
7,3
9,4
8,3
8,3
8,3
7,3
6,3
7,3
9,3
8,3
7,3
7,3
6,3
8,3
8,3
9,3
6,3
5,3
7,3
6,3
7,3
8,3
8,3
7,3
6,3
9,3
9,3
6,3
5,3
6,3
7,3
4,2
5,3
4,1
8,3
7,3
6,3
5,3
7,3
6,3
8,3
7,3
5,2
5,3
9,3
7,3
7,2
7,3
6,3
8,3
8,3
6,3
6,3
4,2
8,3
7,3
7,3
6,3
4,3
6,3
6,3
6,3
9,2
6,3
5,3
4,2
8,3
6,2
4,2
8,3
6,3
8,3
6,3
6,3
8,3
7,3
6,3
8,4
9,3
6,3
7,3
7,3
7,3
9,3
5,2
4,2
7,3
7,3
9,3
9,3
6,3
4,2
8,4
7,3
6,3
6,3
6,-1
7,3
8,3
5,2
9,3
7,3
6,3
8,3
9,3
6,3
8,3
7,3
6,2
7,3
5,2
8,3
9,3
6,3
5,3
7,3
6,3
6,3
7,3
8,3
5,2
6,3
7,3
7,3
6,3
9,3
9,3
9,3
7,3
7,3
8,2
6,3
6,3
7,3
8,3
8,3
6,3
8,3
6,3
7,3
8,3
5,3
7,3
8,3
9,4
7,3
7,3
6,3
4,3
6,3
8,4
6,3
6,3
6,3
5,3
6,3
8,3
7,4
9,3
7,3
6,3
8,3
9,3
7,3
6,3
9,3
8,3
5,2
5,3
7,3
3,1
7,3
5,2
4,3
8,3
7,2
5,3
8,3
7,2
6,3
6,3
7,3
7,3
7,3
8,3
7,3
4,2
4,2
7,3
6,3
8,3
8,3
8,3
4,1
8,3
4,2
6,3
6,3
8,3
4,2
7,3
6,3
6,2
7,3
6,3
5,2
6,3
7,3
6,3
7,3
6,3
8,3
5,2
6,3
5,3
6,3
6,3
6,3
6,3
6,3
7,3
7,3
6,3
6,3
7,3
8,3
5,2
9,3
6,3
7,3
5,3
7,3
6,3
8,3
8,3
7,2
6,3
8,3
7,3
6,3
5,3
6,3
6,3
8,3
6,3
8,3
7,3
6,3
5,2
6,3
6,3
6,2
5,3
6,3
8,3
5,3
5,2
9,3
8,3
6,3
8,3
6,3
8,3
6,3
6,3
6,3
5,2
6,2
7,3
7,3
3,2
6,3
6,3
5,3
5,1
7,3
6,3
7,4
6,3
7,3
6,3
7,3
6,2
7,3
6,3
7,3
7,2
8,3
7,3
6,2
7,3
5,3
5,2
4,2
8,3
6,3
9,3
7,3
2,1
6,3
5,3
6,3
6,3
5,2
4,2
7,3
8,3
10,4
6,3
7,3
5,3
7,3
6,3
6,3
7,3
7,3
7,3
5,3
9,3
6,3
5,2
6,3
9,3
5,2
5,3
6,3
8,3
6,4
7,3
6,2
5,2
8,3
8,3
4,2
5,2
6,3
7,3
6,3
7,3
5,3
5,2
5,3
5,3
7,3
8,3
9,3
7,3
8,3
7,3
8,3
7,3
7,3
7,3
8,3
5,3
8,2
9,4
8,3
5,2
9,3
7,3
6,3
7,3
8,3
7,3
7,3
6,2
7,3
9,3
7,3
4,2
6,2
6,3
5,3
7,3
5,2
6,3
6,3
8,3
5,3
5,2
7,3
8,3
8,3
7,3
4,2
6,3
7,3
9,3
6,3
6,3
6,3
4,3
5,3
3,2
7,3
6,3
6,3
6,3
9,3
5,3
4,2
7,3
9,3
8,3
6,2
7,3
7,3
6,3
7,3
5,3
6,3
7,3
6,3
7,3
6,3
6,3
7,2
7,2
8,3
6,3
7,3
8,3
5,3
7,3
5,3
6,3
7,3
6,3
5,3
6,3
5,3
6,3
8,2
8,3
4,2
8,3
7,3
5,3
9,3
6,3
6,3
6,3
7,3
7,3
5,3
6,2
6,2
7,3
4,2
7,3
5,2
7,3
7,3
6,3
8,3
9,3
4,2
8,3
7,3
7,3
7,3
9,3
5,3
4,2
6,3
7,3
8,3
5,3
6,3
6,2
4,3
5,3
7,3
4,2
6,3
6,3
5,3
6,3
8,3
4,2
6,3
8,3
7,3
7,3
7,3
6,3
7,3
5,2
5,3
6,3
7,3
7,3
4,3
8,3
6,3
7,3
7,3
8,3
7,3
5,3
8,3
6,3
4,3
7,3
4,2
4,2
7,3
7,3
6,3
6,3
6,3
7,3
5,3
5,3
8,3
9,3
6,3
7,3
8,3
6,2
8,3
7,3
7,3
6,3
6,3
9,3
7,3
6,3
7,3
9,3
7,3
8,3
5,3
7,3
9,3
6,3
6,3
8,3
6,3
9,2
5,3
8,3
5,3
8,3
4,2
7,3
7,3
5,3
6,2
6,3
9,3
7,3
8,3
6,3
7,3
7,3
6,3
5,2
5,3
7,3
6,2
7,3
5,3
8,3
7,3
9,3
6,3
5,3
5,3
7,3
8,3
4,2
5,3
7,3
6,3
7,3
5,2
6,3
9,3
6,3
5,3
7,3
7,4
5,3
7,4
6,3
6,3
7,3
6,3
7,3
5,2
6,2
8,3
6,3
8,3
7,3
5,3
6,3
5,3
7,3
8,3
8,3
6,3
5,3
7,3
6,2
8,3
7,3
8,3
7,3
7,3
7,3
6,3
7,3
7,3
8,3
9,3
7,3
7,3
7,3
5,3
5,2
7,3
9,4
5,3
7,2
6,3
5,2
8,3
8,3
8,3
6,2
6,3
7,3
6,3
5,3
8,3
6,3
5,3
9,3
8,3
8,3
5,2
6,3
7,3
5,2
7,3
7,3
6,2
5,3
6,3
3,2
6,3
7,3
6,3
5,3
8,3
7,3
7,3
8,2
6,2
6,3
7,3
8,3
7,3
8,3
9,3
8,3
6,3
7,3
4,2
8,3
6,2
7,3
7,3
6,2
6,3
8,3
7,3
6,3
6,2
7,3
8,3
7,4
6,3
6,3
7,3
6,2
9,3
7,3
8,3
7,3
7,3
7,3
6,3
5,3
6,3
8,3
7,3
5,2
7,2
8,3
7,3
7,3
3,2
6,3
7,3
7,3
7,3
7,3
7,4
7,3
6,3
8,3
6,3
6,3
7,3
4,3
5,2
7,3
5,3
7,3
7,3
4,2
7,3
7,3
6,4
7,3
6,3
7,3
7,3
6,3
4,3
5,3
6,3
6,3
6,3
7,3
7,2
8,3
6,3
8,3
6,3
3,2
6,3
6,3
7,3
6,3
8,3
6,2
7,3
8,3
5,3
6,3
8,3
8,2
7,3
6,3
7,3
8,4
8,3
5,2
8,3
5,2
9,4
7,3
5,3
6,3
7,3
7,3
5,2
6,3
8,3
7,4
5,3
7,3
8,3
7,3
8,3
8,3
7,3
7,3
6,3
7,3
7,3
8,3
7,3
9,3
6,3
6,3
6,3
7,3
6,2
9,4
7,3
5,2
5,3
6,2
8,3
4,3
6,2
6,3
6,3
6,2
8,3
9,3
6,3
6,3
8,3
8,3
6,3
7,3
8,3
8,3
7,3
8,3
7,3
6,3
8,3
8,3
6,2
6,3
8,3
5,2
7,3
6,3
8,3
4,2
8,3
8,3
7,3
7,3
7,3
7,3
7,3
5,2
6,3
6,3
8,3
5,2
7,3
7,3
7,3
8,2
6,3
6,3
6,3
7,3
5,3
6,3
8,3
9,3
5,3
6,3
7,3
5,3
6,3
6,3
7,3
7,3
7,3
5,2
9,3
7,3
6,3
9,2
5,3
7,3
6,3
6,3
7,3
6,3
8,3
6,2
8,3
8,3
5,3
6,3
3,2
6,3
5,2
7,3
5,3
6,2
7,2
6,3
8,3
6,2
7,3
8,3
7,3
7,3
4,2
7,3
6,3
6,3
6,3
8,3
8,4
3,3
7,3
6,3
8,3
6,2
6,3
7,4
6,3
7,3
7,2
7,3
9,3
7,3
6,3
7,3
6,3
9,3
4,3
6,3
8,5
6,3
8,3
8,3
7,3
7,3
10,3
7,3
8,4
8,4
9,3
5,2
5,3
7,3
6,3
8,3
7,3
5,3
9,3
6,3
7,4
7,3
7,3
8,3
8,3
7,3
5,2
8,3
5,3
6,3
5,3
6,3
7,3
4,3
5,3
5,2
4,3
6,3
8,4
8,3
6,3
7,3
7,3
6,3
8,3
7,3
6,3
7,3
5,3
6,3
8,3
5,2
7,3
7,3
8,3
7,2
8,3
7,3
5,2
2,2
8,3
8,3
8,3
7,3
6,4
4,2
8,3
8,3
6,2
5,3
6,3
8,3
7,3
6,3
8,3
7,3
7,3
4,2
7,3
8,3
9,3
6,3
8,3
7,3
9,3
7,3
5,3
8,3
8,3
6,3
5,3
5,2
6,3
5,3
9,3
5,2
5,3
5,3
7,3
6,3
4,3
7,3
9,3
7,3
5,2
6,3
8,3
4,3
7,3
8,3
9,4
7,3
7,3
7,2
4,2
8,3
6,2
7,3
6,3
6,3
9,3
7,2
7,3
6,3
6,3
6,3
5,3
7,3
3,2
7,3
5,4
8,3
6,3
6,3
7,3
6,3
5,3
5,2
5,2
6,3
8,3
8,3
7,3
7,3
6,3
9,3
6,3
8,3
9,3
8,3
5,2
7,3
8,4
6,3
5,3
7,3
9,4
6,3
7,3
5,3
7,3
4,2
9,2
8,4
4,2
6,3
7,3
7,3
4,2
6,3
7,3
7,3
5,2
4,2
6,3
7,3
7,3
5,2
6,3
6,3
8,3
6,3
8,3
8,3
7,3
6,3
6,3
8,3
8,3
8,3
3,2
7,3
8,3
7,3
8,3
8,3
8,3
7,3
6,3
9,3
7,3
5,2
5,2
6,3
7,3
8,3
4,2
8,3
5,3
6,3
8,3
5,2
4,2
7,3
5,3
6,3
4,2
6,3
7,3
7,3
8,3
7,3
6,3
5,3
7,3
5,3
6,2
5,3
6,3
7,3
6,3
7,3
7,3
7,3
9,4
7,3
7,3
8,3
7,3
5,2
6,2
5,2
6,2
6,3
6,3
6,3
7,3
8,3
5,3
6,3
5,2
7,3
9,4
8,3
6,3
5,3
8,3
6,3
8,3
5,3
6,3
6,3
5,3
8,3
8,3
7,3
6,3
7,3
6,2
7,3
5,2
8,3
7,2
5,3
4,2
6,2
4,3
6,3
6,3
5,2
7,3
8,3
8,3
6,3
7,3
7,3
8,3
6,3
7,3
6,3
7,3
10,8
5,3
7,3
6,2
6,3
8,3
5,3
6,3
7,3
6,2
8,3
7,3
6,3
6,3
5,2
6,3
8,3
4,1
6,3
7,3
8,3
5,3
7,3
5,3
7,3
8,3
9,3
8,3
8,3
6,3
6,3
7,3
7,3
6,3
7,3
6,3
5,3
8,3
4,1
6,4
8,3
9,3
4,3
7,3
8,3
5,3
6,3
6,3
6,3
6,2
8,3
6,3
4,3
5,3
7,3
4,1
8,3
4,2
6,3
7,3
6,3
5,3
8,3
6,3
8,3
6,2
7,3
5,3
7,3
5,3
7,2
6,3
7,3
5,2
6,3
6,3
7,2
7,3
6,3
7,3
7,3
7,3
5,2
6,3
7,3
9,3
7,2
6,3
9,3
6,4
6,3
9,4
9,3
6,3
6,3
6,3
7,4
6,3
4,3
8,3
7,3
8,3
4,2
3,3
8,3
5,3
8,3
7,3
8,3
8,3
5,3
4,2
5,2
9,4
7,3
7,3
7,3
6,3
9,4
6,2
2,1
7,3
6,3
6,3
8,3
6,2
8,3
7,3
7,3
6,3
8,3
5,2
9,3
8,4
7,2
9,3
5,3
8,3
7,3
6,3
6,3
7,3
6,3
7,3
6,3
5,3
7,3
4,2
6,3
6,3
7,3
6,3
47,-1
6,3
6,3
8,3
4,2
6,3
7,3
6,3
7,3
6,3
7,3
7,3
9,3
6,3
7,3
7,3
4,2
7,3
7,3
5,2
4,2
7,3
5,2
8,3
7,3
8,3
7,3
8,3
6,3
7,3
5,3
3,2
8,3
6,3
5,3
5,3
7,3
8,3
7,3
6,3
5,2
7,3
6,3
5,4
5,2
5,3
4,2
8,3
5,2
6,2
8,3
6,3
7,3
9,3
9,3
7,3
8,3
7,3
7,3
7,3
7,3
7,3
7,3
8,3
6,3
8,3
8,3
4,2
9,3
7,3
5,3
7,3
6,2
4,3
9,4
4,3
5,2
5,3
8,3
6,3
7,3
7,3
7,2
6,2
7,3
10,4
4,2
5,2
7,3
7,3
6,4
6,3
4,2
6,2
7,2
6,2
6,3
7,3
4,2
8,3
4,3
5,3
7,3
8,4
6,3
7,3
7,3
7,3
7,3
7,3
6,3
8,2
6,3
7,3
7,3
7,3
5,3
7,3
7,3
7,3
7,3
7,3
6,2
5,2
7,3
2,2
9,3
6,3
7,3
5,2
5,3
7,3
8,3
5,2
6,3
8,4
6,3
9,3
7,3
6,3
7,3
6,4
5,2
6,3
4,2
8,3
5,3
6,3
6,3
8,2
5,2
7,3
6,2
7,3
7,3
7,3
7,3
8,3
6,3
8,3
6,4
7,3
6,2
7,2
5,3
5,3
7,3
6,3
7,3
7,4
6,3
3,2
6,3
6,2
7,3
8,3
7,3
7,3
7,3
4,2
5,3
7,3
8,3
6,3
7,3
7,3
6,3
6,3
6,3
7,3
6,3
5,2
7,3
5,3
7,3
5,3
6,3
4,3
3,2
5,3
7,3
6,3
6,3
7,2
8,3
7,3
7,3
5,2
6,3
5,3
5,2
9,3
7,3
5,3
7,3
8,3
8,3
8,3
8,3
9,5
7,3
5,2
6,3
8,3
8,3
6,2
6,3
7,3
5,3
6,4
8,3
7,2
6,3
6,3
6,3
5,2
7,2
6,3
6,3
5,3
5,3
9,3
7,3
8,3
6,3
9,2
8,3
6,3
7,3
8,3
7,3
6,2
7,3
7,3
5,3
7,3
8,3
7,3
6,3
6,3
6,3
7,3
5,2
7,3
7,3
3,2
7,3
9,3
8,3
6,2
4,2
7,3
5,3
8,3
5,4
7,3
7,3
6,3
8,3
7,3
3,2
8,3
8,3
6,3
9,2
6,2
6,2
7,3
6,3
7,3
8,3
7,3
5,3
6,3
8,3
8,3
5,3
4,1
7,3
8,3
8,3
5,2
6,3
8,3
5,2
6,3
4,2
6,3
8,4
8,3
6,3
8,3
6,3
7,3
8,3
4,2
8,3
7,3
7,3
6,3
7,3
5,3
6,3
9,3
7,3
6,3
8,4
8,3
9,3
5,3
7,3
6,3
5,3
5,2
6,3
6,3
7,3
9,3
6,3
9,3
6,2
8,4
9,3
8,3
8,3
5,2
9,3
9,4
5,2
7,3
9,3
6,3
6,2
8,3
9,3
5,3
6,3
8,3
7,3
5,2
7,3
6,4
7,3
5,2
8,3
7,3
9,3
4,3
5,2
4,2
6,3
7,3
5,3
7,3
4,2
7,3
9,3
4,2
8,3
5,3
5,3
8,3
7,3
6,2
7,3
7,3
9,4
7,3
7,3
7,3
6,3
6,3
7,3
7,3
8,3
4,2
5,3
7,3
6,3
7,3
5,2
7,3
7,2
7,3
4,2
6,4
7,3
9,3
5,2
8,3
6,3
4,2
7,3
6,3
6,3
5,3
5,3
5,3
5,2
6,3
6,2
8,3
7,3
6,3
6,3
6,3
6,2
5,1
6,3
9,3
7,3
6,3
4,3
7,3
6,3
5,3
5,3
6,3
8,3
7,3
8,3
9,3
7,3
4,2
7,3
7,3
5,3
8,3
6,3
5,2
5,3
6,2
5,2
5,2
8,3
7,3
14,6
7,3
6,3
7,2
8,3
6,3
5,2
3,1
7,3
6,3
7,3
5,3
6,3
7,3
6,3
6,2
6,3
8,3
4,3
7,3
8,3
6,3
9,3
6,3
8,3
7,3
7,3
9,3
7,3
5,3
7,3
7,3
9,3
8,3
8,3
7,3
7,3
7,3
5,3
6,3
5,3
7,3
7,3
6,3
6,3
5,3
9,3
6,3
7,3
4,3
5,2
8,3
9,3
7,3
8,3
6,3
8,3
7,3
6,3
7,3
7,3
8,2
4,2
8,3
6,3
6,3
6,3
8,3
7,3
8,3
6,3
6,3
5,2
9,4
7,3
6,3
8,3
5,2
7,3
9,3
5,2
5,3
6,3
7,3
9,3
8,3
7,3
8,4
7,3
7,3
5,2
5,3
8,3
6,3
6,3
6,3
6,3
7,3
7,3
8,3
7,3
7,3
7,2
6,3
6,3
7,3
8,3
7,3
7,3
8,3
7,3
7,3
7,3
8,3
7,3
8,3
6,3
9,3
6,3
5,2
6,3
5,3
8,3
7,3
7,3
4,2
6,3
7,3
6,2
6,3
7,3
6,2
7,3
5,3
5,2
5,2
7,3
3,2
9,4
7,2
7,3
8,3
5,3
7,3
9,3
7,3
6,2
4,1
6,3
6,3
6,3
8,3
3,1
5,2
7,3
9,3
9,3
7,3
4,2
5,3
7,3
8,3
6,3
6,3
7,3
7,4
6,3
5,3
7,3
6,3
8,3
5,3
7,3
5,3
7,3
7,3
6,3
5,3
6,3
6,3
8,4
9,3
7,3
8,3
7,3
6,3
5,2
6,3
6,3
5,3
6,3
6,3
4,2
5,2
5,3
8,2
8,3
7,3
7,3
5,3
7,3
7,3
9,3
6,3
2,1
6,3
8,3
5,3
7,3
7,3
7,3
5,3
8,3
8,3
7,3
7,3
5,3
9,3
8,3
7,3
8,3
9,3
5,3
5,3
7,3
7,3
7,3
6,3
5,2
5,3
7,3
7,3
6,3
6,3
7,3
9,3
7,3
8,3
8,3
6,3
5,3
5,3
8,3
8,3
5,2
7,3
6,3
7,3
4,2
5,2
5,3
8,3
7,3
6,3
6,3
10,4
9,3
6,3
5,3
4,2
8,3
7,3
7,3
7,3
9,3
8,3
6,3
4,2
8,3
7,3
8,3
6,3
7,3
6,2
7,3
5,3
9,3
10,3
7,3
6,2
8,4
7,3
6,3
8,3
4,3
5,2
9,3
8,3
7,3
9,3
8,3
9,3
7,3
6,3
8,3
6,3
8,3
6,3
3,1
5,3
7,3
6,3
5,2
6,3
7,3
6,3
6,3
7,3
5,3
6,3
6,3
7,2
3,3
8,3
7,3
5,2
7,3
7,3
5,3
8,3
6,3
9,3
5,2
6,3
7,3
6,3
7,3
8,3
7,3
5,2
6,3
6,3
4,3
8,3
6,3
8,3
6,3
7,3
5,3
7,3
7,3
5,2
4,2
6,3
7,3
5,3
5,2
5,3
8,3
8,3
5,3
8,3
7,2
6,3
7,3
5,3
7,3
6,3
8,3
7,3
6,2
4,2
7,3
7,3
6,3
7,3
7,3
5,2
7,3
5,3
4,2
7,2
4,2
7,3
5,2
6,3
6,3
7,2
8,3
3,2
7,3
5,3
5,3
3,1
8,3
4,2
6,3
7,4
7,3
7,3
8,3
6,3
4,3
6,2
6,3
8,3
7,3
8,3
6,3
9,3
3,2
5,3
7,3
7,3
7,3
7,2
9,4
7,3
6,3
7,3
8,3
7,3
7,2
8,3
5,3
8,4
8,3
6,2
7,3
8,3
6,3
7,3
6,3
6,3
7,3
5,2
7,3
6,3
6,3
6,3
6,3
6,3
6,3
5,3
8,3
7,3
8,3
6,3
3,2
5,3
6,2
8,3
7,4
6,3
6,3
5,3
7,3
7,3
5,3
5,2
7,3
6,3
5,2
8,3
8,3
6,3
5,2
8,3
6,3
7,3
6,3
8,3
7,3
5,3
8,3
8,3
7,3
9,4
6,3
6,3
5,3
6,3
5,3
7,2
7,3
6,3
7,3
4,2
6,3
4,1
4,2
6,3
7,3
6,2
4,2
7,3
8,3
5,2
8,3
6,3
4,2
6,3
8,3
5,2
6,3
6,2
5,3
8,3
7,3
7,3
7,3
7,3
6,3
5,2
7,3
6,3
6,3
6,2
7,3
5,3
6,3
8,3
8,2
4,2
6,3
7,3
7,3
5,3
5,3
7,3
7,3
5,3
6,3
8,3
8,3
6,3
6,3
8,3
5,3
5,3
8,3
6,3
6,3
5,3
6,3
6,3
8,2
7,3
7,3
3,2
8,3
6,3
6,3
8,3
4,2
6,2
7,3
7,3
8,3
7,3
6,3
7,3
6,2
8,3
8,3
5,2
5,3
9,3
7,3
6,3
7,3
5,3
8,3
5,2
7,3
8,3
8,3
6,3
7,3
7,3
7,3
6,3
4,2
8,3
7,3
4,1
7,3
5,3
8,3
6,3
6,3
7,3
3,2
7,3
7,3
7,3
5,2
8,3
8,3
7,3
8,3
8,3
9,3
5,3
7,3
6,3
5,3
5,3
5,2
3,2
8,3
5,3
7,3
6,2
7,3
6,3
3,2
9,3
6,3
8,3
7,4
10,4
6,2
6,3
8,3
6,3
5,2
8,3
7,3
6,3
7,3
4,3
7,3
8,3
6,3
8,3
6,3
6,3
6,2
5,2
7,3
5,2
7,3
6,2
7,3
7,3
6,3
5,3
8,4
